,SDGs 01,SDGs 02,SDGs 03,SDGs 04,SDGs 05,SDGs 06,SDGs 07,SDGs 08,SDGs 09,SDGs 10,SDGs 11,SDGs 12,SDGs 13,SDGs 14,SDGs 15,SDGs 16,SDGs 17
,,,road* kill*,,,,smart home*,,,,,,,Spot,,,
,,,roadkill*,,,,smart house*,,,,,,,Spotted Dolphin,,,
,,,Rocky Mountain spotted fever,,,,smart kitchen oven*,,,,,,,Spotted Dolphins,,,
,,,roe v. wade,,,,smart kitchen stove*,,,,,,,Spotted Seal,,,
,,,rotavirus,,,,smart laundry dryer*,,,,,,,Spotted Seals,,,
,,,rubella control,,,,smart light*,,,,,,,Spotted Trout,,,
,,,rubella elimination,,,,smart lighting,,,,,,,Sprattus ,,,
,,,rubella epidemic,,,,smart meter*,,,,,,,Squatina aculeata,,,
,,,rubella epidemics,,,,smart microwave oven*,,,,,,,Squatina oculata,,,
,,,rubella outbreak,,,,smart municipal*,,,,,,,Squatina squatina,,,
,,,rubella outbreaks,,,,smart oven*,,,,,,,squid*,,,
,,,rubella pandemic,,,,smart phone*,,,,,,,St. Kitts and Nevis,,,
,,,rubella pandemics,,,,smart plug*,,,,,,,St. Lucia,,,
,,,rubella transmission,,,,smart refrigerat*,,,,,,,St. Vincent and the Grenadines,,,
,,,rubella vaccination,,,,smart residen*,,,,,,,Staphylococcal enterotoxin A,,,
,,,rubella vaccine,,,,smart stove*,,,,,,,Statherian,,,
,,,rubella vaccines,,,,smart street light* or ,,,,,,,statherian,,,
,,,Rwanda,,,,smart streetlight*,,,,,,,STCW-F Convention,,,
,,,safe abortion,,,,smart switch*,,,,,,,STCWF Convention,,,
,,,safe driving,,,,smart thermostat*,,,,,,,steelhead,,,
,,,safe maternity,,,,smart vacuum cleaner*,,,,,,,steelhead*,,,
,,,safe motherhood,,,,smart ventilation,,,,,,,Steller sea lion,,,
,,,safety seat,,,,smart washer*,,,,,,,Stenella,,,
,,,safety seats,,,,smart washing machine*,,,,,,,Stenian,,,
,,,Saint Lucia,,,,smart water heater*,,,,,,,stenian,,,
,,,Saint Vincent and the Grenadines,,,,smarter grid,,,,,,,Steno bredanensis,,,
,,,salmonella control,,,,smarter grids,,,,,,,stickleback*,,,
,,,salmonella epidemic,,,,smartgrid,,,,,,,Stingray,,,
,,,salmonella epidemics,,,,smartgrids,,,,,,,Stizostedion vitreum,,,
,,,salmonella outbreak,,,,smartphone*,,,,,,,stock assessment,,,
,,,salmonella outbreaks,,,,societ electric efficien*,,,,,,,stock enhancement,,,
,,,salmonella surveillance,,,,societ electric saving*,,,,,,,stock* enhance*,,,
,,,Salvador,,,,societ energy efficien*,,,,,,,stop overfishing,,,
,,,Samoa,,,,societ energy saving*,,,,,,,STOPIA,,,
,,,sarcoma,,,,societ power saving*,,,,,,,storm surge*,,,
,,,SARS,,,,sodium air batter*,,,,,,,Straddling Fish Stocks Agreement,,,
,,,sars epidemic,,,,sodium ion,,,,,,,stream habitat*,,,
,,,sars epidemics,,,,sodium ion batteries,,,,,,,Striped Bass,,,
,,,sars outbreak,,,,sodium ion battery,,,,,,,Striped Dolphin,,,
,,,sars outbreaks,,,,sodium sulfur,,,,,,,Striped Dolphins,,,
,,,sars pandemic,,,,sodium-air,,,,,,,sturgeon,,,
,,,sars pandemics,,,,sodiumair,,,,,,,sturgeon*,,,
,,,SARS-nCoV,,,,sofc,,,,,,,subsidies,,,
,,,seir model,,,,sofcs,,,,,,,subsidy,,,
,,,seir models,,,,solar,,,,,,,subsistence* fish*,,,
,,,seirs epidemic,,,,solar absorbing surface*,,,,,,,Sudan,,,
,,,seirs epidemics,,,,solar air condition*,,,,,,,Sulu Sea,,,
,,,seirs model,,,,solar air heat*,,,,,,,Sunfish,,,
,,,seirs models,,,,solar air heater*,,,,,,,sunfish*,,,
,,,Senegal,,,,solar aircraft*,,,,,,,supertanker,,,
,,,Serbia,,,,solar and wind energy,,,,,,,surf tourism,,,
,,,severe acute respiratory syndrome,,,,solar assisted cooling,,,,,,,surf zone*,,,
,,,sex education,,,,solar assisted heat*,,,,,,,surfclam*,,,
,,,sexual abstinence,,,,Solar Beam Down Tower,,,,,,,Suriname,,,
,,,sexual education,,,,Solar Beam Down Towers,,,,,,,sustain* livelihood*,,,
,,,sexual health,,,,solar boat*,,,,,,,sustainab*,,,
,,,sexuality education,,,,solar box cooker*,,,,,,,sustainab* manage*,,,
,,,shiga,,,,solar bus,,,,,,,sustainability,,,
,,,shortage of doctors,,,,solar buses,,,,,,,sustainability of bycatch,,,
,,,shortage of health personnel,,,,solar calcination plant,,,,,,,sustainability of populations,,,
,,,shortage of health professionals,,,,solar car,,,,,,,sustainable,,,
,,,shortage of health workers,,,,solar cars,,,,,,,sustainable development,,,
,,,shortage of health-care personnel,,,,solar cavity receiver,,,,,,,sustainable fisheries management,,,
,,,shortage of health-care professionals,,,,solar cell*,,,,,,,sustainable fishing,,,
,,,shortage of health-care workers,,,,solar chimney,,,,,,,sustainable management,,,
,,,shortage of healthcare personnel,,,,solar chimney power plant,,,,,,,sustainable tourism,,,
,,,shortage of healthcare professionals,,,,solar collector*,,,,,,,sustainable urban development,,,
,,,shortage of healthcare workers,,,,solar combined cycle power plant,,,,,,,sustainable use,,,
,,,shortage of nurses,,,,solar combined cycle power plants,,,,,,,sustainable yield,,,
,,,shortage of physicians,,,,solar combisystem*,,,,,,,sustainable yields,,,
,,,shortages of doctors,,,,solar combisystems,,,,,,,sustainable* develop*,,,
,,,shortages of health personnel,,,,solar concentrating power,,,,,,,sustainable* exploit*,,,
,,,shortages of health professionals,,,,solar control coating*,,,,,,,sustainable* fish* stock*,,,
,,,shortages of health workers,,,,solar cook stove*,,,,,,,sustainable* livelihood*,,,
,,,shortages of health-care personnel,,,,solar cooker*,,,,,,,sustainable* manag*,,,
,,,shortages of health-care professionals,,,,solar cooling,,,,,,,Swan_necked Seal,,,
,,,shortages of health-care workers,,,,solar desalination,,,,,,,Swan_necked Seals,,,
,,,shortages of healthcare personnel,,,,solar dish,,,,,,,swimbladder*,,,
,,,shortages of healthcare professionals,,,,solar Domestic Hot Water,,,,,,,Swordfish,,,
,,,shortages of healthcare workers,,,,solar energy,,,,,,,São Tomé and Principe,,,
,,,shortages of nurses,,,,solar energy application*,,,,,,,Takifugu,,,
,,,shortages of physicians,,,,solar energy collector*,,,,,,,tamarense,,,
,,,sickness,,,,solar energy concentrator*,,,,,,,tambaqui,,,
,,,Sierra Leone,,,,solar energy conver*,,,,,,,tanker,,,
,,,single-payer,,,,solar energy plant*,,,,,,,tanker BAHAMAS,,,
,,,singlepayer,,,,solar energy project*,,,,,,,tanker*,,,
,,,sir epidemic,,,,solar energy resource*,,,,,,,tanker* accident*,,,
,,,sir epidemics,,,,solar energy system*,,,,,,,Tarpon,,,
,,,sir model,,,,solar farm,,,,,,,Tasmacetus shepherdi,,,
,,,sir models,,,,solar farms,,,,,,,Tasman Sea,,,
,,,sirs model,,,,solar fuel*,,,,,,,Taura syndrome*,,,
,,,sirs models,,,,solar furnace*,,,,,,,technogenic radioactivity,,,
,,,sis epidemic,,,,Solar Gas Turbine,,,,,,,technogenic radionuclides,,,
,,,sis epidemics,,,,Solar Gas Turbines,,,,,,,teleost*,,,
,,,sis model,,,,solar H2 production,,,,,,,teleostei*,,,
,,,sis models,,,,solar heat collector*,,,,,,,tench,,,
,,,skilled birth,,,,solar heat system*,,,,,,,Terebrasabella heterouncinata,,,
,,,sleep* health*,,,,solar heating system*,,,,,,,territorial waters,,,
,,,sleepy driving,,,,solar hot water,,,,,,,territorial* dispute*,,,
,,,smallpox,,,,solar hydrogen production,,,,,,,the ecosystem approach,,,
,,,smartphone*,,,,solar mission,,,,,,,Theragra,,,
,,,smoking,,,,solar panel*,,,,,,,thermocline*,,,
,,,smoking dependence,,,,solar parabolic collector*,,,,,,,thermohaline,,,
,,,smoking dependency,,,,solar parabolic concentrator,,,,,,,Thracian Sea,,,
,,,SO 2,,,,solar park*,,,,,,,thunnus,,,
,,,SO2,,,,solar planes,,,,,,,Thymallus arcticus,,,
,,,sobriety checkpoint,,,,solar plant*,,,,,,,tidal channel*,,,
,,,sobriety checkpoints,,,,solar pool heat*,,,,,,,tidal current*,,,
,,,sobriety test,,,,solar power,,,,,,,tidal energy,,,
,,,sobriety tests,,,,solar powered Stirling,,,,,,,tidal flat*,,,
,,,soil contamination,,,,solar powered ventilator*,,,,,,,tidal flow*,,,
,,,soil quality,,,,solar reforming,,,,,,,tidal inlet*,,,
,,,Solomon Islands,,,,solar space heat*,,,,,,,tidal marsh*,,,
,,,Somalia,,,,solar still*,,,,,,,tidal mudflat*,,,
,,,South Africa,,,,solar syngas,,,,,,,tidal power,,,
,,,South Sudan,,,,solar thermal,,,,,,,tidal region*,,,
,,,sport*,,,,solar thermal collector*,,,,,,,tidal water*,,,
,,,spread of aids,,,,Solar thermal Electric,,,,,,,tide gauge,,,
,,,spread of diseases,,,,Solar Thermal Electricity,,,,,,,tide gauges,,,
,,,spread of ebola,,,,solar thermal energy,,,,,,,tilapia,,,
,,,spread of epidemics,,,,solar thermal power plant,,,,,,,tilapia*,,,
,,,spread of hcv,,,,solar thermal power plants,,,,,,,Tilefish,,,
,,,spread of hiv,,,,Solar thermionic,,,,,,,Timor-Leste,,,
,,,spread of infectious diseases,,,,solar track*,,,,,,,Timor-Lesté,,,
,,,spread of mrsa,,,,solar trough,,,,,,,Toadfish,,,
,,,spread of outbreaks,,,,Solar updraft,,,,,,,Todarodes,,,
,,,spread of pandemics,,,,solar vehicle*,,,,,,,Togo,,,
,,,spread of viruses,,,,solar water heat*,,,,,,,Tokelau,,,
,,,Sri Lanka,,,,solar water heater*,,,,,,,tomcod,,,
,,,stillbirth,,,,solar wind,,,,,,,tomcods,,,
,,,stillbirths,,,,Solar-driven Gas Turbine,,,,,,,TOMPs,,,
,,,stimulant abuse,,,,Solar-driven Gas Turbines,,,,,,,Tonga,,,
,,,stimulant addiction,,,,solar-grade silicon,,,,,,,tonian,,,
,,,stimulant dependence,,,,solar-powered,,,,,,,Tonian,,,
,,,stimulant use disorder,,,,solar-to-fuel,,,,,,,Toothed whale,,,
,,,stimulant use disorders,,,,solar-to-hydrogen,,,,,,,Toothed whales,,,
,,,stock price,,,,Solar-wind generation system,,,,,,,tourism,,,
,,,stockpil*,,,,Solar-wind generation systems,,,,,,,tourism* impact*,,,
,,,stress*,,,,Solar-wind power system,,,,,,,tourist-wildlife,,,
,,,stroke,,,,Solar-wind power systems,,,,,,,touristwildlife,,,
,,,strokes,,,,solartofuel,,,,,,,tox*,,,
,,,substance abuse,,,,solartohydrogen,,,,,,,toxic dinoflagellate,,,
,,,substance abuser,,,,solid oxide fuel*,,,,,,,Trace elements,,,
,,,substance abusers,,,,solid state lamp*,,,,,,,trace metals,,,
,,,substance addiction,,,,solid state light*,,,,,,,Trachurus,,,
,,,substance dependence,,,,solid-oxide electrolysis,,,,,,,tragedy of the commons,,,
,,,substance dependency,,,,solidoxide electrolysis,,,,,,,training program,,,
,,,substance use disorder,,,,Son La Dam,,,,,,,training programme,,,
,,,substance use disorders,,,,space,,,,,,,transfer of knowledge,,,
,,,substance use problem,,,,space exploration,,,,,,,Transfer of Marine Technology,,,
,,,substance use problems,,,,space mission,,,,,,,transgenic,,,
,,,substance use treatment,,,,space missions,,,,,,,transgenic fish*,,,
,,,substance use treatments,,,,space solar power,,,,,,,treaties,,,
,,,substance-dependent patient,,,,space solar powered,,,,,,,treaty,,,
,,,substance-dependent patients,,,,space station,,,,,,,triassic,,,
,,,substance-related disorder,,,,spacecraft*,,,,,,,Triassic,,,
,,,substance-related disorders,,,,SPARC (concept),,,,,,,Trichechus inunguis,,,
,,,substancedependent patient,,,,SST-1 Tokamak,,,,,,,Trichechus manatus,,,
,,,substancedependent patients,,,,Stand-alone ENERGY,,,,,,,Trichechus senegalensis,,,
,,,substancerelated disorder,,,,Stand-alone hybrid,,,,,,,Trichogaster,,,
,,,substancerelated disorders,,,,Stand-alone power,,,,,,,trichogaster pectoralis,,,
,,,Sudan,,,,star*,,,,,,,Triggerfish,,,
,,,suicide,,,,STE plant,,,,,,,Trinidad and Tobago,,,
,,,suicides,,,,STE plants,,,,,,,trout,,,
,,,sulfur dioxide,,,,steam,,,,,,,trouts,,,
,,,sulphur dioxide,,,,Steam extraction,,,,,,,trutta*,,,
,,,surger*,,,,steam pipeline*,,,,,,,tshawytscha*,,,
,,,surgical,,,,stellarator,,,,,,,tsunami risk*,,,
,,,Suriname,,,,stimulated geothermal,,,,,,,tsunami*,,,
,,,surveillance of epidemics,,,,Stirling,,,,,,,Tucuxi,,,
,,,surveillance of infectious diseases,,,,storage of H2,,,,,,,Tucuxis,,,
,,,surveillance of influenza,,,,storage of hydrogen,,,,,,,tuna,,,
,,,surveillance of mrsa,,,,stored H2,,,,,,,Tuna,,,
,,,surveillance of outbreaks,,,,stored hydrogen,,,,,,,tunas,,,
,,,survival of infants,,,,storing H2,,,,,,,turbot,,,
,,,susceptible-exposed-infectious-recovered model,,,,storing hydrogen,,,,,,,turbot*,,,
,,,susceptible-exposed-infectious-recovered models,,,,stove*,,,,,,,Tursiops,,,
,,,susceptible-exposed-infectious-recovered-susceptible model,,,,straw gasification,,,,,,,Tuvalu,,,
,,,susceptible-exposed-infectious-recovered-susceptible models,,,,stream generator,,,,,,,Tyrrhenian Sea,,,
,,,susceptible-infected-recovered model,,,,stream turbine*,,,,,,,Ulva lactuca,,,
,,,susceptible-infected-recovered models,,,,street light*,,,,,,,Umbrina cirrosa,,,
,,,susceptible-infected-recovered-susceptible model,,,,streetlight*,,,,,,,UN Convention on the Law of the Sea,,,
,,,susceptible-infected-recovered-susceptible models,,,,sugar cane energy,,,,,,,UN fish stocks agreement,,,
,,,susceptible-infected-susceptible model,,,,SUNIST,,,,,,,UNCLOS,,,
,,,susceptible-infected-susceptible models,,,,super-capacitors*,,,,,,,Undaria,,,
,,,susceptibleexposedinfectiousrecovered model,,,,supercapacitor*,,,,,,,underwater autonomous vehicle,,,
,,,susceptibleexposedinfectiousrecovered models,,,,supercapacitors*,,,,,,,underwater pipeline*,,,
,,,susceptibleexposedinfectiousrecoveredsusceptible model,,,,supply,,,,,,,underwater tourism,,,
,,,susceptibleexposedinfectiousrecoveredsusceptible models,,,,surge,,,,,,,United Republic of Tanzania,,,
,,,susceptibleinfectedrecovered model,,,,sustainab*,,,,,,,unsustainable,,,
,,,susceptibleinfectedrecovered models,,,,sustainable,,,,,,,upwelling,,,
,,,susceptibleinfectedrecoveredsusceptible model,,,,sustainable aviation fuel*,,,,,,,Ursus maritimus,,,
,,,susceptibleinfectedrecoveredsusceptible models,,,,sustainable electricity,,,,,,,use* control*,,,
,,,susceptibleinfectedsusceptible model,,,,sustainable energy,,,,,,,vannamei*,,,
,,,susceptibleinfectedsusceptible models,,,,sustainable fuel*,,,,,,,Vanuatu,,,
,,,syphilis,,,,sustainable jet fuel*,,,,,,,Vaquita,,,
,,,Syria,,,,sustainable liquid fuel*,,,,,,,vibrio anguillarum,,,
,,,São Tomé and Príncipe,,,,sustainable natural gas,,,,,,,vibrio salmonicida,,,
,,,Tajikistan,,,,switch mode power suppl*,,,,,,,Vibrio tapetis,,,
,,,Tanzania,,,,synchrophasor*,,,,,,,visitor,,,
,,,tb control,,,,synfuel*,,,,,,,visitor* impact*,,,
,,,tb drug,,,,syngas,,,,,,,visitor* management*,,,
,,,tb drugs,,,,synthetic aviation fuel*,,,,,,,visitors,,,
,,,tb elimination,,,,synthetic fuel*,,,,,,,vulnerability,,,
,,,tb epidemic,,,,synthetic jet fuel*,,,,,,,vulnerable* ecosystem*,,,
,,,tb epidemics,,,,Tarbela Dam,,,,,,,vulnerable* marine* ecosystem*,,,
,,,tb outbreak,,,,taxation,,,,,,,Wahoo,,,
,,,tb outbreaks,,,,Taxes,,,,,,,walleye,,,
,,,tb prevention,,,,TCA-Br,,,,,,,walleye*,,,
,,,tb surveillance,,,,TCV Tokamak,,,,,,,Walrus,,,
,,,tb therapy,,,,technolog*,,,,,,,walrus,,,
,,,tb transmission,,,,technology transfer,,,,,,,wastewater emissions,,,
,,,tb treatment,,,,TEXTOR,,,,,,,water,,,
,,,tb vaccination,,,,tf coil,,,,,,,water column,,,
,,,tb vaccine,,,,tfmc,,,,,,,water columns,,,
,,,tb vaccines,,,,thallium,,,,,,,water pollution,,,
,,,tele health,,,,the poor,,,,,,,water quality management,,,
,,,tele medicine,,,,therap*,,,,,,,water quality model*,,,
,,,telehealth,,,,thermal conversion,,,,,,,water*,,,
,,,telemedicine,,,,thermal energy,,,,,,,watershed management,,,
,,,telephone*,,,,thermal solar collector*,,,,,,,Weddell Seal,,,
,,,telework*,,,,thermal storage,,,,,,,Weddell Seals,,,
,,,tetanus,,,,thermo-catalytic reforming,,,,,,,West Indian manatee,,,
,,,texting while driving,,,,thermo-electric*,,,,,,,wetland restoration,,,
,,,Thailand,,,,thermocatalytic reforming,,,,,,,wetland*,,,
,,,therapy of tuberculosis,,,,thermoelectric*,,,,,,,wetlands restoration,,,
,,,third world,,,,thermonuclear fusion,,,,,,,Whale,,,
,,,Timor-Leste,,,,thermonuclear reactor,,,,,,,Whirling disease*,,,
,,,TimorLeste,,,,thermophotovoltaic*,,,,,,,White Dolphin,,,
,,,tobacco,,,,thermostat control appliance*,,,,,,,White Dolphins,,,
,,,tobacco addiction,,,,thermostatically controlled appliance*,,,,,,,White Grunt,,,
,,,tobacco dependence,,,,thin film lithium ion batter*,,,,,,,White spot disease*,,,
,,,tobacco use disorder,,,,thin-film solar,,,,,,,white spot syndrome*,,,
,,,tobacco use disorders,,,,Three Gorges Dam,,,,,,,White sturgeon,,,
,,,Togo,,,,tidal,,,,,,,White_Beaked Dolphin,,,
,,,Tonga,,,,tidal barrage*,,,,,,,White_Beaked Dolphins,,,
,,,Tourism*,,,,tidal current conver*,,,,,,,White_Sided Dolphin*,,,
,,,Tourist*,,,,tidal current energy,,,,,,,whitefish*,,,
,,,toxic chemical,,,,tidal current power,,,,,,,wolffish*,,,
,,,toxic chemicals,,,,tidal electricity,,,,,,,woman,,,
,,,toxic shock syndrome,,,,tidal energy,,,,,,,women,,,
,,,toxic substance,,,,tidal energy conver*,,,,,,,"Work in Fishing Convention, 2007",,,
,,,toxic substances,,,,tidal energy development,,,,,,,wssv*,,,
,,,toxic waste,,,,tidal energy exploitation,,,,,,,Xenohaliotis californiensis,,,
,,,traffic accident,,,,tidal energy extract*,,,,,,,yabbies,,,
,,,traffic accidents,,,,tidal energy farm*,,,,,,,yabby,,,
,,,traffic casualties,,,,tidal energy generat*,,,,,,,Yellow Sea,,,
,,,traffic casualty,,,,tidal energy harvest*,,,,,,,Yellowedge Grouper,,,
,,,traffic collision,,,,tidal energy plant*,,,,,,,Yemen,,,
,,,traffic collisions,,,,tidal energy production,,,,,,,yersinia ruckeri*,,,
,,,traffic crash,,,,tidal energy resource*,,,,,,,Zalophus,,,
,,,traffic crashes,,,,tidal energy system*,,,,,,,Zalophus wollebaeki,,,
,,,traffic death,,,,tidal energy technolog*,,,,,,,zebra*,,,
,,,traffic deaths,,,,tidal power conver*,,,,,,,zebrafish,,,
,,,traffic fatalities,,,,tidal power development,,,,,,,Ziphius cavirostris,,,
,,,traffic fatality,,,,tidal power exploitation,,,,,,,zoobenthos,,,
,,,traffic injuries,,,,tidal power extract*,,,,,,,zooplankton*,,,
,,,traffic injury,,,,tidal power farm*,,,,,,,,,,
,,,traffic mortalities,,,,tidal power generat*,,,,,,,,,,
,,,traffic mortality,,,,tidal power plant*,,,,,,,,,,
